employee_id,active_employee,department,job_role,gender,office_site,age_band,atsi_identification,employee_status,career_metric,career_years,career_year_band
E100081,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,45-54,No,Active,Years at Company,4,4-5
E100424,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,45-54,No,Active,Years at Company,3,2-3
E100891,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,4,4-5
E101466,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,13,10+
E101665,1,Corporate Services,Payroll Officer,Female,Adelaide Branch,25-34,Yes,Active,Years at Company,8,6-10
E101684,0,Corporate Services,Payroll Officer,Female,Adelaide Branch,35-44,No,Terminated,Years at Company,8,6-10
E101860,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,0,0-1
E101945,1,Corporate Services,Payroll Officer,Female,Adelaide Branch,55-65,No,Active,Years at Company,1,0-1
E102206,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,10,6-10
E102253,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,45-54,No,Active,Years at Company,6,6-10
E102784,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,55-65,No,Active,Years at Company,10,6-10
E102933,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,6,6-10
E103065,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,14,10+
E103128,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,55-65,No,Active,Years at Company,1,0-1
E103618,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,11,10+
E103718,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,5,4-5
E103770,1,Corporate Services,Payroll Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,5,4-5
E100060,1,Corporate Services,HR Analyst,Male,Adelaide Branch,55-65,No,Active,Years at Company,5,4-5
E100543,1,Corporate Services,HR Analyst,Male,Adelaide Branch,55-65,No,Active,Years at Company,7,6-10
E100659,1,Corporate Services,HR Analyst,Male,Adelaide Branch,55-65,No,Active,Years at Company,7,6-10
E101107,1,Corporate Services,HR Analyst,Male,Adelaide Branch,45-54,No,Active,Years at Company,3,2-3
E101195,0,Corporate Services,HR Analyst,Male,Adelaide Branch,45-54,No,Terminated,Years at Company,5,4-5
E101695,0,Corporate Services,HR Analyst,Male,Adelaide Branch,45-54,Yes,Terminated,Years at Company,4,4-5
E101823,1,Corporate Services,HR Analyst,Male,Adelaide Branch,35-44,No,Active,Years at Company,2,2-3
E101924,1,Corporate Services,HR Analyst,Male,Adelaide Branch,45-54,No,Active,Years at Company,7,6-10
E102158,1,Corporate Services,HR Analyst,Female,Adelaide Branch,35-44,No,Active,Years at Company,2,2-3
E102400,0,Corporate Services,HR Analyst,Female,Adelaide Branch,35-44,No,Terminated,Years at Company,12,10+
E102830,1,Corporate Services,HR Analyst,Female,Adelaide Branch,25-34,No,Active,Years at Company,5,4-5
E103074,1,Corporate Services,HR Analyst,Male,Adelaide Branch,35-44,No,Active,Years at Company,9,6-10
E103313,0,Corporate Services,HR Analyst,Male,Adelaide Branch,25-34,No,Terminated,Years at Company,8,6-10
E103633,1,Corporate Services,HR Analyst,Female,Adelaide Branch,35-44,Yes,Active,Years at Company,1,0-1
E100036,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,35-44,No,Active,Years at Company,1,0-1
E100048,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,55-65,No,Active,Years at Company,12,10+
E100194,0,Corporate Services,Finance Business Partner,Female,Adelaide Branch,55-65,No,Terminated,Years at Company,6,6-10
E100299,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,55-65,No,Active,Years at Company,9,6-10
E100412,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,35-44,No,Active,Years at Company,3,2-3
E100604,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,35-44,No,Active,Years at Company,18,10+
E101511,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,55-65,No,Active,Years at Company,8,6-10
E101563,0,Corporate Services,Finance Business Partner,Female,Adelaide Branch,45-54,No,Terminated,Years at Company,2,2-3
E101725,0,Corporate Services,Finance Business Partner,Female,Adelaide Branch,35-44,No,Terminated,Years at Company,3,2-3
E101804,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,35-44,No,Active,Years at Company,3,2-3
E101870,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,35-44,No,Active,Years at Company,5,4-5
E102322,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,35-44,No,Active,Years at Company,4,4-5
E102489,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,45-54,Yes,Active,Years at Company,2,2-3
E102566,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,55-65,No,Active,Years at Company,1,0-1
E103817,0,Corporate Services,Finance Business Partner,Female,Adelaide Branch,35-44,No,Terminated,Years at Company,4,4-5
E103864,1,Corporate Services,Finance Business Partner,Male,Adelaide Branch,45-54,No,Active,Years at Company,2,2-3
E100241,1,Corporate Services,HR Manager,Male,Adelaide Branch,55-65,No,Active,Years at Company,4,4-5
E100365,0,Corporate Services,HR Manager,Female,Adelaide Branch,25-34,No,Terminated,Years at Company,2,2-3
E100605,1,Corporate Services,HR Manager,Female,Adelaide Branch,55-65,No,Active,Years at Company,4,4-5
E100631,1,Corporate Services,HR Manager,Female,Adelaide Branch,25-34,No,Active,Years at Company,5,4-5
E100679,0,Corporate Services,HR Manager,Male,Adelaide Branch,45-54,No,Terminated,Years at Company,2,2-3
E100717,1,Corporate Services,HR Manager,Male,Adelaide Branch,55-65,No,Active,Years at Company,13,10+
E100721,1,Corporate Services,HR Manager,Male,Adelaide Branch,35-44,Yes,Active,Years at Company,6,6-10
E100743,1,Corporate Services,HR Manager,Male,Adelaide Branch,55-65,No,Active,Years at Company,1,0-1
E100829,1,Corporate Services,HR Manager,Male,Adelaide Branch,55-65,No,Active,Years at Company,8,6-10
E101498,1,Corporate Services,HR Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,6,6-10
E101510,1,Corporate Services,HR Manager,Male,Adelaide Branch,55-65,No,Active,Years at Company,19,10+
E101626,1,Corporate Services,HR Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,3,2-3
E101896,1,Corporate Services,HR Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,3,2-3
E102015,1,Corporate Services,HR Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,13,10+
E102025,1,Corporate Services,HR Manager,Male,Adelaide Branch,45-54,Yes,Active,Years at Company,7,6-10
E102137,1,Corporate Services,HR Manager,Female,Adelaide Branch,22-24,No,Active,Years at Company,1,0-1
E102231,1,Corporate Services,HR Manager,Male,Adelaide Branch,55-65,No,Active,Years at Company,17,10+
E102434,1,Corporate Services,HR Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,6,6-10
E102914,1,Corporate Services,HR Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,4,4-5
E102938,1,Corporate Services,HR Manager,Female,Adelaide Branch,22-24,Yes,Active,Years at Company,1,0-1
E103148,1,Corporate Services,HR Manager,Male,Adelaide Branch,25-34,No,Active,Years at Company,2,2-3
E103149,1,Corporate Services,HR Manager,Male,Adelaide Branch,35-44,Yes,Active,Years at Company,8,6-10
E103403,1,Corporate Services,HR Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,2,2-3
E103685,1,Corporate Services,HR Manager,Male,Adelaide Branch,35-44,No,Active,Years at Company,2,2-3
E103739,1,Corporate Services,HR Manager,Male,Adelaide Branch,45-54,No,Active,Years at Company,15,10+
E100052,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,3,2-3
E100422,0,Customer Services,Customer Service Officer,Male,Adelaide Branch,45-54,No,Terminated,Years at Company,1,0-1
E100620,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,55-65,No,Active,Years at Company,4,4-5
E100749,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,55-65,No,Active,Years at Company,8,6-10
E100819,1,Customer Services,Customer Service Officer,Female,Adelaide Branch,55-65,No,Active,Years at Company,11,10+
E100880,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,6,6-10
E100935,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,10,6-10
E100977,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,5,4-5
E101416,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,16,10+
E101455,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,55-65,No,Active,Years at Company,6,6-10
E101615,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,6,6-10
E101727,0,Customer Services,Customer Service Officer,Female,Adelaide Branch,35-44,No,Terminated,Years at Company,8,6-10
E101898,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,2,2-3
E101982,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,4,4-5
E101987,1,Customer Services,Customer Service Officer,Female,Adelaide Branch,45-54,No,Active,Years at Company,3,2-3
E102003,0,Customer Services,Customer Service Officer,Male,Adelaide Branch,45-54,No,Terminated,Years at Company,4,4-5
E102022,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,35-44,No,Active,Years at Company,7,6-10
E102168,1,Customer Services,Customer Service Officer,Male,Adelaide Branch,25-34,No,Active,Years at Company,3,2-3
E102182,0,Customer Services,Customer Service Officer,Male,Adelaide Branch,22-24,No,Terminated,Years at Company,3,2-3
E102228,0,Customer Services,Customer Service Officer,Male,Adelaide Branch,35-44,Yes,Terminated,Years at Company,9,6-10
