employee_id,employee_number,country,state,city,office_site,office_type,age,age_band,gender,atsi_identification,department,job_role,job_level,highest_education,years_at_company,hire_year,years_in_current_role,years_since_last_promotion,years_with_current_manager,training_sessions_last_year,flexible_work,absence_days,inclusion_index,wellbeing_index,development_index,work_life_balance,job_satisfaction,performance_rating,sdg_score,base_salary_aud,oncosts_aud,super_aud,hired_flag,terminated_flag,active_employee,attrition,employee_status,termination_reason,total_employment_cost_aud,is_terminated,is_active,sdg_band,performance_band,satisfaction_band,wellbeing_band,promotion_delay_band,tenure_band,comparable_role_group,retention_risk_segment,high_value_at_risk,hq_branch_group,sdg_score_recalculated,sdg_score_match
E100081,244006,Australia,South Australia,Adelaide,Adelaide Branch,Branch,51,45-54,Male,No,Corporate Services,Payroll Officer,1,Associate Degree,4,2022,0,1,1,3,Yes,6,4,2,4,3,2,1,3,107500,19350,12900,1,0,1,No,Active,,139750,0,1,Moderate SDG,Low Performer,Low Satisfaction,Low Wellbeing,Recently Promoted,4-5 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,3,Match
E100424,847757,Australia,South Australia,Adelaide,Adelaide Branch,Branch,52,45-54,Male,No,Corporate Services,Payroll Officer,1,Bachelors,3,2023,0,2,2,3,No,10,4,4,5,4,2,2,4,88300,15894,10596,1,0,1,No,Active,,114790,0,1,High SDG,Low Performer,Low Satisfaction,High Wellbeing,Moderate Promotion Delay,2-3 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,4,Match
E100891,907145,Australia,South Australia,Adelaide,Adelaide Branch,Branch,39,35-44,Male,No,Corporate Services,Payroll Officer,1,Bachelors,4,2022,3,1,4,5,No,7,4,5,3,3,3,2,4,97200,17496,11664,1,0,1,No,Active,,126360,0,1,High SDG,Low Performer,Moderate Satisfaction,High Wellbeing,Recently Promoted,4-5 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,4,Match
E101466,537399,Australia,South Australia,Adelaide,Adelaide Branch,Branch,34,25-34,Male,No,Corporate Services,Payroll Officer,1,Associate Degree,13,2013,10,3,7,3,No,6,2,5,2,3,2,5,2,78200,14076,9384,1,0,1,No,Active,,101660,0,1,Low SDG,High Performer,Low Satisfaction,High Wellbeing,Moderate Promotion Delay,10+ Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,High Performer with Low Satisfaction,Branch,3,Mismatch
E101665,338994,Australia,South Australia,Adelaide,Adelaide Branch,Branch,31,25-34,Female,Yes,Corporate Services,Payroll Officer,1,Doctorate,8,2018,0,8,4,3,Yes,9,5,5,3,4,5,5,5,94800,17064,11376,1,0,1,No,Active,,123240,0,1,High SDG,High Performer,High Satisfaction,High Wellbeing,Long Promotion Delay,6-10 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,5,Match
E101684,610813,Australia,South Australia,Adelaide,Adelaide Branch,Branch,40,35-44,Female,No,Corporate Services,Payroll Officer,1,Doctorate,8,2018,6,1,3,2,Yes,5,3,5,5,5,4,4,4,132800,23904,15936,1,1,0,Yes,Terminated,Family/Carer Responsibilities,172640,1,0,High SDG,High Performer,High Satisfaction,High Wellbeing,Recently Promoted,6-10 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,4,Match
E101860,336588,Australia,South Australia,Adelaide,Adelaide Branch,Branch,40,35-44,Male,No,Corporate Services,Payroll Officer,1,Bachelors,0,2026,0,0,0,1,Yes,7,3,4,3,2,3,3,4,103000,18540,12360,1,0,1,No,Active,,133900,0,1,High SDG,Moderate Performer,Moderate Satisfaction,High Wellbeing,Recently Promoted,0-1 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,3,Mismatch
E101945,739071,Australia,South Australia,Adelaide,Adelaide Branch,Branch,65,55-65,Female,No,Corporate Services,Payroll Officer,1,Doctorate,1,2025,0,0,0,3,Yes,9,4,3,1,5,3,4,3,113900,20502,13668,1,0,1,No,Active,,148070,0,1,Moderate SDG,High Performer,Moderate Satisfaction,Moderate Wellbeing,Recently Promoted,0-1 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,3,Match
E102206,926642,Australia,South Australia,Adelaide,Adelaide Branch,Branch,31,25-34,Male,No,Corporate Services,Payroll Officer,1,Bachelors,10,2016,2,2,10,4,Yes,8,2,3,4,1,2,3,2,95000,17100,11400,1,0,1,No,Active,,123500,0,1,Low SDG,Moderate Performer,Low Satisfaction,Moderate Wellbeing,Moderate Promotion Delay,6-10 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,3,Mismatch
E102253,231157,Australia,South Australia,Adelaide,Adelaide Branch,Branch,47,45-54,Male,No,Corporate Services,Payroll Officer,1,Bachelors,6,2020,2,4,4,2,Yes,8,5,2,3,4,2,1,3,102400,18432,12288,1,0,1,No,Active,,133120,0,1,Moderate SDG,Low Performer,Low Satisfaction,Low Wellbeing,Long Promotion Delay,6-10 Years,Corporate Services | Payroll Officer | Level 1,Potential Retention Risk,Other,Branch,3,Match
E102784,273407,Australia,South Australia,Adelaide,Adelaide Branch,Branch,61,55-65,Male,No,Corporate Services,Payroll Officer,1,Bachelors,10,2016,10,0,2,1,No,2,1,4,4,4,2,3,3,115800,20844,13896,1,0,1,No,Active,,150540,0,1,Moderate SDG,Moderate Performer,Low Satisfaction,High Wellbeing,Recently Promoted,6-10 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,3,Match
E102933,539426,Australia,South Australia,Adelaide,Adelaide Branch,Branch,34,25-34,Male,No,Corporate Services,Payroll Officer,1,Associate Degree,6,2020,4,2,3,1,Yes,1,3,3,5,4,3,2,4,86300,15534,10356,1,0,1,No,Active,,112190,0,1,High SDG,Low Performer,Moderate Satisfaction,Moderate Wellbeing,Moderate Promotion Delay,6-10 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,3,Mismatch
E103065,751316,Australia,South Australia,Adelaide,Adelaide Branch,Branch,39,35-44,Male,No,Corporate Services,Payroll Officer,1,Doctorate,14,2012,9,5,0,3,Yes,2,4,2,5,3,3,1,4,163100,29358,19572,1,0,1,No,Active,,212030,0,1,High SDG,Low Performer,Moderate Satisfaction,Low Wellbeing,Long Promotion Delay,10+ Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,4,Match
E103128,702527,Australia,South Australia,Adelaide,Adelaide Branch,Branch,64,55-65,Male,No,Corporate Services,Payroll Officer,1,Associate Degree,1,2025,1,0,1,4,Yes,4,3,4,5,3,4,4,4,112100,20178,13452,1,0,1,No,Active,,145730,0,1,High SDG,High Performer,High Satisfaction,High Wellbeing,Recently Promoted,0-1 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,4,Match
E103618,247073,Australia,South Australia,Adelaide,Adelaide Branch,Branch,36,35-44,Male,No,Corporate Services,Payroll Officer,1,Bachelors,11,2015,11,0,7,1,No,3,5,4,2,4,3,3,4,92800,16704,11136,1,0,1,No,Active,,120640,0,1,High SDG,Moderate Performer,Moderate Satisfaction,High Wellbeing,Recently Promoted,10+ Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,4,Match
E103718,484273,Australia,South Australia,Adelaide,Adelaide Branch,Branch,32,25-34,Male,No,Corporate Services,Payroll Officer,1,Associate Degree,5,2021,1,1,0,3,No,2,2,5,3,3,3,3,4,76700,13806,9204,1,0,1,No,Active,,99710,0,1,High SDG,Moderate Performer,Moderate Satisfaction,High Wellbeing,Recently Promoted,4-5 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,3,Mismatch
E103770,769782,Australia,South Australia,Adelaide,Adelaide Branch,Branch,31,25-34,Male,No,Corporate Services,Payroll Officer,1,Bachelors,5,2021,3,2,5,2,No,7,3,2,4,5,3,3,3,99800,17964,11976,1,0,1,No,Active,,129740,0,1,Moderate SDG,Moderate Performer,Moderate Satisfaction,Low Wellbeing,Moderate Promotion Delay,4-5 Years,Corporate Services | Payroll Officer | Level 1,Lower Observable Risk,Other,Branch,3,Match
E100060,613284,Australia,South Australia,Adelaide,Adelaide Branch,Branch,63,55-65,Male,No,Corporate Services,HR Analyst,2,Bachelors,5,2021,2,1,4,2,No,9,2,5,2,4,3,2,3,97700,17586,11724,1,0,1,No,Active,,127010,0,1,Moderate SDG,Low Performer,Moderate Satisfaction,High Wellbeing,Recently Promoted,4-5 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,3,Match
E100543,412509,Australia,South Australia,Adelaide,Adelaide Branch,Branch,62,55-65,Male,No,Corporate Services,HR Analyst,2,Masters,7,2019,6,1,7,4,Yes,0,5,1,2,5,3,2,3,128000,23040,15360,1,0,1,No,Active,,166400,0,1,Moderate SDG,Low Performer,Moderate Satisfaction,Low Wellbeing,Recently Promoted,6-10 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,3,Match
E100659,772109,Australia,South Australia,Adelaide,Adelaide Branch,Branch,60,55-65,Male,No,Corporate Services,HR Analyst,2,Masters,7,2019,6,1,7,5,Yes,6,5,3,5,3,3,3,4,170600,30708,20472,1,0,1,No,Active,,221780,0,1,High SDG,Moderate Performer,Moderate Satisfaction,Moderate Wellbeing,Recently Promoted,6-10 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,4,Match
E101107,524825,Australia,South Australia,Adelaide,Adelaide Branch,Branch,48,45-54,Male,No,Corporate Services,HR Analyst,2,Bachelors,3,2023,2,1,1,4,No,5,4,5,5,4,4,2,4,94900,17082,11388,1,0,1,No,Active,,123370,0,1,High SDG,Low Performer,High Satisfaction,High Wellbeing,Recently Promoted,2-3 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,4,Match
E101195,335724,Australia,South Australia,Adelaide,Adelaide Branch,Branch,46,45-54,Male,No,Corporate Services,HR Analyst,2,Doctorate,5,2021,5,0,5,5,Yes,6,3,2,3,1,3,1,3,153900,27702,18468,1,1,0,Yes,Terminated,Career Change,200070,1,0,Moderate SDG,Low Performer,Moderate Satisfaction,Low Wellbeing,Recently Promoted,4-5 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,3,Match
E101695,303823,Australia,South Australia,Adelaide,Adelaide Branch,Branch,52,45-54,Male,Yes,Corporate Services,HR Analyst,2,Masters,4,2022,1,1,2,2,Yes,15,5,4,4,5,3,2,3,121600,21888,14592,1,1,0,Yes,Terminated,Poor Performance,158080,1,0,Moderate SDG,Low Performer,Moderate Satisfaction,High Wellbeing,Recently Promoted,4-5 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,4,Mismatch
E101823,986599,Australia,South Australia,Adelaide,Adelaide Branch,Branch,41,35-44,Male,No,Corporate Services,HR Analyst,2,Associate Degree,2,2024,1,1,0,4,Yes,8,2,3,5,5,4,4,3,98800,17784,11856,1,0,1,No,Active,,128440,0,1,Moderate SDG,High Performer,High Satisfaction,Moderate Wellbeing,Recently Promoted,2-3 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,3,Match
E101924,689531,Australia,South Australia,Adelaide,Adelaide Branch,Branch,51,45-54,Male,No,Corporate Services,HR Analyst,2,Doctorate,7,2019,1,0,0,2,Yes,10,3,4,3,2,3,3,2,145500,26190,17460,1,0,1,No,Active,,189150,0,1,Low SDG,Moderate Performer,Moderate Satisfaction,High Wellbeing,Recently Promoted,6-10 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,3,Mismatch
E102158,397125,Australia,South Australia,Adelaide,Adelaide Branch,Branch,39,35-44,Female,No,Corporate Services,HR Analyst,2,Masters,2,2024,2,0,2,3,Yes,6,2,4,4,5,4,3,3,106100,19098,12732,1,0,1,No,Active,,137930,0,1,Moderate SDG,Moderate Performer,High Satisfaction,High Wellbeing,Recently Promoted,2-3 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,3,Match
E102400,921968,Australia,South Australia,Adelaide,Adelaide Branch,Branch,41,35-44,Female,No,Corporate Services,HR Analyst,2,Doctorate,12,2014,12,0,0,2,No,4,4,2,3,3,3,3,3,156400,28152,18768,1,1,0,Yes,Terminated,Restructure/Redundancy,203320,1,0,Moderate SDG,Moderate Performer,Moderate Satisfaction,Low Wellbeing,Recently Promoted,10+ Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,3,Match
E102830,432963,Australia,South Australia,Adelaide,Adelaide Branch,Branch,31,25-34,Female,No,Corporate Services,HR Analyst,2,Masters,5,2021,0,1,4,3,Yes,2,2,4,3,2,3,4,3,105600,19008,12672,1,0,1,No,Active,,137280,0,1,Moderate SDG,High Performer,Moderate Satisfaction,High Wellbeing,Recently Promoted,4-5 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,3,Match
E103074,964220,Australia,South Australia,Adelaide,Adelaide Branch,Branch,41,35-44,Male,No,Corporate Services,HR Analyst,2,Masters,9,2017,4,0,3,4,Yes,3,4,2,4,3,3,5,3,161700,29106,19404,1,0,1,No,Active,,210210,0,1,Moderate SDG,High Performer,Moderate Satisfaction,Low Wellbeing,Recently Promoted,6-10 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,3,Match
E103313,384395,Australia,South Australia,Adelaide,Adelaide Branch,Branch,29,25-34,Male,No,Corporate Services,HR Analyst,2,Associate Degree,8,2018,7,0,3,2,Yes,11,3,2,4,3,3,1,3,108500,19530,13020,1,1,0,Yes,Terminated,Retirement,141050,1,0,Moderate SDG,Low Performer,Moderate Satisfaction,Low Wellbeing,Recently Promoted,6-10 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,3,Match
E103633,393251,Australia,South Australia,Adelaide,Adelaide Branch,Branch,37,35-44,Female,Yes,Corporate Services,HR Analyst,2,Masters,1,2025,0,0,1,4,Yes,9,3,4,3,5,5,4,5,103300,18594,12396,1,0,1,No,Active,,134290,0,1,High SDG,High Performer,High Satisfaction,High Wellbeing,Recently Promoted,0-1 Years,Corporate Services | HR Analyst | Level 2,Lower Observable Risk,Other,Branch,4,Mismatch
E100036,665227,Australia,South Australia,Adelaide,Adelaide Branch,Branch,44,35-44,Male,No,Corporate Services,Finance Business Partner,3,Masters,1,2025,0,0,0,2,Yes,10,4,4,4,1,3,2,4,170300,30654,20436,1,0,1,No,Active,,221390,0,1,High SDG,Low Performer,Moderate Satisfaction,High Wellbeing,Recently Promoted,0-1 Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,Other,Branch,4,Match
E100048,938632,Australia,South Australia,Adelaide,Adelaide Branch,Branch,64,55-65,Male,No,Corporate Services,Finance Business Partner,3,Masters,12,2014,12,0,5,2,Yes,1,5,4,5,4,4,2,5,193800,34884,23256,1,0,1,No,Active,,251940,0,1,High SDG,Low Performer,High Satisfaction,High Wellbeing,Recently Promoted,10+ Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,Other,Branch,5,Match
E100194,840675,Australia,South Australia,Adelaide,Adelaide Branch,Branch,57,55-65,Female,No,Corporate Services,Finance Business Partner,3,Masters,6,2020,4,1,3,1,Yes,5,3,4,5,3,2,5,3,168000,30240,20160,1,1,0,Yes,Terminated,Retirement,218400,1,0,Moderate SDG,High Performer,Low Satisfaction,High Wellbeing,Recently Promoted,6-10 Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,High Performer with Low Satisfaction,Branch,3,Match
E100299,533377,Australia,South Australia,Adelaide,Adelaide Branch,Branch,58,55-65,Male,No,Corporate Services,Finance Business Partner,3,Masters,9,2017,6,3,1,2,No,7,4,3,2,3,3,3,4,183300,32994,21996,1,0,1,No,Active,,238290,0,1,High SDG,Moderate Performer,Moderate Satisfaction,Moderate Wellbeing,Moderate Promotion Delay,6-10 Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,Other,Branch,3,Mismatch
E100412,883981,Australia,South Australia,Adelaide,Adelaide Branch,Branch,37,35-44,Male,No,Corporate Services,Finance Business Partner,3,Masters,3,2023,2,0,2,2,No,3,1,1,3,2,2,3,1,167900,30222,20148,1,0,1,No,Active,,218270,0,1,Low SDG,Moderate Performer,Low Satisfaction,Low Wellbeing,Recently Promoted,2-3 Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,Other,Branch,2,Mismatch
E100604,879798,Australia,South Australia,Adelaide,Adelaide Branch,Branch,39,35-44,Male,No,Corporate Services,Finance Business Partner,3,Masters,18,2008,17,1,12,3,Yes,9,2,3,3,2,2,3,3,217600,39168,26112,1,0,1,No,Active,,282880,0,1,Moderate SDG,Moderate Performer,Low Satisfaction,Moderate Wellbeing,Recently Promoted,10+ Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,Other,Branch,2,Mismatch
E101511,590525,Australia,South Australia,Adelaide,Adelaide Branch,Branch,56,55-65,Male,No,Corporate Services,Finance Business Partner,3,Associate Degree,8,2018,7,1,0,3,No,10,4,4,3,3,2,3,4,160200,28836,19224,1,0,1,No,Active,,208260,0,1,High SDG,Moderate Performer,Low Satisfaction,High Wellbeing,Recently Promoted,6-10 Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,Other,Branch,3,Mismatch
E101563,650255,Australia,South Australia,Adelaide,Adelaide Branch,Branch,51,45-54,Female,No,Corporate Services,Finance Business Partner,3,Doctorate,2,2024,1,1,0,6,Yes,10,4,3,3,3,4,5,3,170300,30654,20436,1,1,0,Yes,Terminated,Restructure/Redundancy,221390,1,0,Moderate SDG,High Performer,High Satisfaction,Moderate Wellbeing,Recently Promoted,2-3 Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,Other,Branch,4,Mismatch
E101725,807123,Australia,South Australia,Adelaide,Adelaide Branch,Branch,38,35-44,Female,No,Corporate Services,Finance Business Partner,3,Masters,3,2023,2,1,0,3,No,9,5,3,5,2,4,4,5,153900,27702,18468,1,1,0,Yes,Terminated,Retirement,200070,1,0,High SDG,High Performer,High Satisfaction,Moderate Wellbeing,Recently Promoted,2-3 Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,Other,Branch,4,Mismatch
E101804,544759,Australia,South Australia,Adelaide,Adelaide Branch,Branch,41,35-44,Male,No,Corporate Services,Finance Business Partner,3,Doctorate,3,2023,3,0,1,0,No,10,3,5,4,4,3,1,4,191900,34542,23028,1,0,1,No,Active,,249470,0,1,High SDG,Low Performer,Moderate Satisfaction,High Wellbeing,Recently Promoted,2-3 Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,Other,Branch,4,Match
E101870,979583,Australia,South Australia,Adelaide,Adelaide Branch,Branch,42,35-44,Male,No,Corporate Services,Finance Business Partner,3,Masters,5,2021,4,1,3,2,No,11,1,4,1,5,3,3,2,136000,24480,16320,1,0,1,No,Active,,176800,0,1,Low SDG,Moderate Performer,Moderate Satisfaction,High Wellbeing,Recently Promoted,4-5 Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,Other,Branch,2,Match
E102322,298589,Australia,South Australia,Adelaide,Adelaide Branch,Branch,40,35-44,Male,No,Corporate Services,Finance Business Partner,3,Masters,4,2022,0,2,3,4,No,7,3,4,2,4,3,3,3,182100,32778,21852,1,0,1,No,Active,,236730,0,1,Moderate SDG,Moderate Performer,Moderate Satisfaction,High Wellbeing,Moderate Promotion Delay,4-5 Years,Corporate Services | Finance Business Partner | Level 3,Lower Observable Risk,Other,Branch,3,Match
